Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd Pkts/s,Bwd Pkts/s
5353,17,1024848.9379882812,3,0,799,0,521.0,86.0,266.3333333333333,185.20319171715758,512424.4689941406,108298.54011535645,620723.0091094971,404125.9288787842,2.927260680865636,0.0
5355,17,1,1,0,61,0,61.0,61.0,61.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,3993661.880493164,4,0,498,0,165.0,69.0,124.5,37.265936188428164,1331220.6268310547,1446099.6409140518,3376280.0693511963,298435.92643737793,1.0015870445962876,0.0
5353,17,924986.1240386963,3,0,717,0,479.0,86.0,239.0,171.83131262956704,462493.06201934814,53564.90612030029,516057.96813964844,408928.15589904785,3.2432918959922654,0.0
0,2,1,1,0,32,0,32.0,32.0,32.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,308420.89653015137,2,0,304,0,216.0,88.0,152.0,64.0,308420.89653015137,0.0,308420.89653015137,308420.89653015137,6.484644920304481,0.0
5353,17,612669.2295074463,2,0,309,0,223.0,86.0,154.5,68.5,612669.2295074463,0.0,612669.2295074463,612669.2295074463,3.264404190182514,0.0
443,17,317041.15867614746,5,6,452,403,134.0,60.0,90.4,35.61235740582193,31704.11586761475,43262.34002426538,137444.01931762695,198.84109497070312,15.770823008842903,18.924987610611485
57621,17,1,1,0,68,0,68.0,68.0,68.0,0.0,0,0,0,0,1000000.0,0.0
67,17,10998.010635375977,1,1,328,332,328.0,328.0,328.0,0.0,10998.010635375977,0.0,10998.010635375977,10998.010635375977,90.92553491296148,90.92553491296148
0,2,388728.8570404053,5,0,200,0,40.0,40.0,40.0,0.0,97182.21426010132,152281.28159430827,360209.9418640137,245.09429931640625,12.862435884147109,0.0
5355,17,422688.96102905273,2,0,110,0,55.0,55.0,55.0,0.0,422688.96102905273,0.0,422688.96102905273,422688.96102905273,4.731611620826156,0.0
5355,17,409537.07695007324,2,0,112,0,56.0,56.0,56.0,0.0,409537.07695007324,0.0,409537.07695007324,409537.07695007324,4.883562716456612,0.0
5353,17,1947012.9013061523,5,0,472,0,105.0,68.0,94.4,14.582180906846547,486753.2253265381,488083.49944570265,1024433.8512420654,0.0,2.5680363990632795,0.0
57621,17,1,1,0,68,0,68.0,68.0,68.0,0.0,0,0,0,0,1000000.0,0.0
1900,17,1,1,0,153,0,153.0,153.0,153.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,1,1,0,73,0,73.0,73.0,73.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,1,1,0,73,0,73.0,73.0,73.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,1,1,0,105,0,105.0,105.0,105.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,1,1,0,114,0,114.0,114.0,114.0,0.0,0,0,0,0,1000000.0,0.0
3544,17,1,1,0,68,0,68.0,68.0,68.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,14848994.016647339,3,0,219,0,73.0,73.0,73.0,0.0,7424497.008323669,5476800.084114075,12901297.092437744,1947696.9242095947,0.20203388839921907,0.0
1900,17,16285879.850387573,7,0,1071,0,153.0,153.0,153.0,0.0,2714313.3083979287,1054079.6726016058,4299942.0166015625,1841552.972793579,0.4298201917431813,0.0
5353,17,10035045.862197876,6,0,438,0,73.0,73.0,73.0,0.0,2007009.1724395752,49148.42350198188,2048280.0006866455,1946050.1670837402,0.5979045918068061,0.0
5353,17,10647400.856018066,8,0,580,0,105.0,67.0,72.5,12.288205727444508,1521057.2651454383,2607818.043877374,7680340.051651001,0.0,0.7513570784252275,0.0
5353,17,3991817.9512023926,3,0,1034,0,484.0,108.0,344.6666666666667,168.22471743342462,1995908.9756011963,974128.007888794,2970036.9834899902,1021780.9677124023,0.7515372786718285,0.0
1900,17,2973783.9698791504,4,0,792,0,198.0,198.0,198.0,0.0,991261.3232930502,48203.621086004285,1026046.9913482666,923095.9415435791,1.345087619179867,0.0
1900,17,3075649.9767303467,4,0,792,0,198.0,198.0,198.0,0.0,1025216.6589101155,1271.6906009420784,1026993.989944458,1024090.051651001,1.300538107477467,0.0
1900,17,3073690.176010132,4,0,792,0,198.0,198.0,198.0,0.0,1024563.3920033772,6669.3498135858235,1031790.018081665,1015701.0555267334,1.3013673372871575,0.0
5353,17,1026046.9913482666,2,0,195,0,109.0,86.0,97.5,11.5,1026046.9913482666,0.0,1026046.9913482666,1026046.9913482666,1.9492284630861987,0.0
5353,17,1023116.1117553711,2,0,195,0,109.0,86.0,97.5,11.5,1023116.1117553711,0.0,1023116.1117553711,1023116.1117553711,1.9548123394993544,0.0
5355,17,1,1,0,49,0,49.0,49.0,49.0,0.0,0,0,0,0,1000000.0,0.0
137,17,3176379.919052124,7,0,672,0,96.0,96.0,96.0,0.0,529396.653175354,340869.9612654388,819917.9172515869,0.0,2.203766608022411,0.0
5355,17,409873.00872802734,4,0,244,0,61.0,61.0,61.0,0.0,136624.33624267578,193215.9892646141,409873.00872802734,0.0,9.759120300244541,0.0
5355,17,1,1,0,49,0,49.0,49.0,49.0,0.0,0,0,0,0,1000000.0,0.0
5355,17,407871.0079193115,2,0,110,0,55.0,55.0,55.0,0.0,407871.0079193115,0.0,407871.0079193115,407871.0079193115,4.90351106395789,0.0
5355,17,407871.0079193115,2,0,110,0,55.0,55.0,55.0,0.0,407871.0079193115,0.0,407871.0079193115,407871.0079193115,4.90351106395789,0.0
5355,17,407871.0079193115,2,0,110,0,55.0,55.0,55.0,0.0,407871.0079193115,0.0,407871.0079193115,407871.0079193115,4.90351106395789,0.0
5355,17,407871.0079193115,2,0,110,0,55.0,55.0,55.0,0.0,407871.0079193115,0.0,407871.0079193115,407871.0079193115,4.90351106395789,0.0
5353,17,714796.0662841797,6,0,899,0,267.0,69.0,149.83333333333334,82.85009890693485,142959.21325683594,122873.21192457654,308335.0658416748,0.0,8.394002545635995,0.0
5355,17,406210.89935302734,2,0,112,0,56.0,56.0,56.0,0.0,406210.89935302734,0.0,406210.89935302734,406210.89935302734,4.923550803746041,0.0
138,17,1,1,0,229,0,229.0,229.0,229.0,0.0,0,0,0,0,1000000.0,0.0
1900,17,1,1,0,153,0,153.0,153.0,153.0,0.0,0,0,0,0,1000000.0,0.0
1900,17,2959543.228149414,4,0,792,0,198.0,198.0,198.0,0.0,986514.4093831381,52002.25970132612,1023855.9246063232,912975.0728607178,1.351559917069087,0.0
5353,17,1,4,0,304,0,95.0,57.0,76.0,19.0,0.0,0.0,0.0,0.0,4000000.0,0.0
5355,17,1,1,0,51,0,51.0,51.0,51.0,0.0,0,0,0,0,1000000.0,0.0
5355,17,1,1,0,55,0,55.0,55.0,55.0,0.0,0,0,0,0,1000000.0,0.0
5355,17,410866.97578430176,2,0,110,0,55.0,55.0,55.0,0.0,410866.97578430176,0.0,410866.97578430176,410866.97578430176,4.867755545897089,0.0
5355,17,410866.97578430176,2,0,110,0,55.0,55.0,55.0,0.0,410866.97578430176,0.0,410866.97578430176,410866.97578430176,4.867755545897089,0.0
5355,17,410866.97578430176,2,0,110,0,55.0,55.0,55.0,0.0,410866.97578430176,0.0,410866.97578430176,410866.97578430176,4.867755545897089,0.0
5355,17,1,1,0,61,0,61.0,61.0,61.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,923691.987991333,2,0,477,0,391.0,86.0,238.5,152.5,923691.987991333,0.0,923691.987991333,923691.987991333,2.165223933953583,0.0
5353,17,1123367.0711517334,3,0,438,0,146.0,146.0,146.0,0.0,561683.5355758667,358390.6888961792,920074.2244720459,203292.8466796875,2.6705429392053004,0.0
137,17,924208.8794708252,2,0,192,0,96.0,96.0,96.0,0.0,924208.8794708252,0.0,924208.8794708252,924208.8794708252,2.1640129676585027,0.0
5353,17,1,8,0,496,0,67.0,57.0,62.0,5.0,0.0,0.0,0.0,0.0,8000000.0,0.0
5355,17,1,2,0,102,0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0
5353,17,922602.8919219971,2,0,596,0,510.0,86.0,298.0,212.0,922602.8919219971,0.0,922602.8919219971,922602.8919219971,2.167779894807758,0.0
5353,17,1,1,0,86,0,86.0,86.0,86.0,0.0,0,0,0,0,1000000.0,0.0
5355,17,408601.9992828369,2,0,112,0,56.0,56.0,56.0,0.0,408601.9992828369,0.0,408601.9992828369,408601.9992828369,4.894738654021091,0.0
5353,17,1,1,0,554,0,554.0,554.0,554.0,0.0,0,0,0,0,1000000.0,0.0
1900,17,1956108.0932617188,3,0,594,0,198.0,198.0,198.0,0.0,978054.0466308594,54918.05076599121,1032972.0973968506,923135.9958648682,1.5336575776840842,0.0
53,17,13442.039489746094,1,1,147,65,147.0,147.0,147.0,0.0,13442.039489746094,0.0,13442.039489746094,13442.039489746094,74.39347286271727,74.39347286271727
53,17,2017.0211791992188,1,1,91,75,91.0,91.0,91.0,0.0,2017.0211791992188,0.0,2017.0211791992188,2017.0211791992188,495.7806146572104,495.7806146572104
53,17,5277.872085571289,1,1,135,75,135.0,135.0,135.0,0.0,5277.872085571289,0.0,5277.872085571289,5277.872085571289,189.47029859511227,189.47029859511227
443,17,169357.0613861084,11,14,4799,6094,1278.0,59.0,436.27272727272725,524.2237709065386,7056.544224421184,14033.083428811973,49166.91780090332,0.0,64.95152850415649,82.6655817325628
57621,17,1,1,0,72,0,72.0,72.0,72.0,0.0,0,0,0,0,1000000.0,0.0
1900,17,1,1,0,165,0,165.0,165.0,165.0,0.0,0,0,0,0,1000000.0,0.0
1900,17,20272472.143173218,9,0,1377,0,153.0,153.0,153.0,0.0,2534059.017896652,4212295.393603926,9830434.083938599,98451.85279846191,0.44395177541436465,0.0
5353,17,20369886.15989685,8,0,1258,0,483.0,65.0,157.25,136.64438334596852,2909983.737128122,4033597.254987298,12395565.9866333,214780.09223937988,0.3927366082069705,0.0
5353,17,22013870.000839233,5,0,445,0,89.0,89.0,89.0,0.0,5503467.500209808,8362350.340418085,19969577.074050903,2624.034881591797,0.22712953241794312,0.0
1900,17,14951288.938522339,2,0,320,0,160.0,160.0,160.0,0.0,14951288.938522339,0.0,14951288.938522339,14951288.938522339,0.1337677312119194,0.0
5353,17,13007616.04309082,5,0,1269,0,545.0,77.0,253.8,204.17090879946633,3251904.010772705,3494624.158393247,9012146.949768066,307561.15913391113,0.3843901898269684,0.0
5353,17,7171406.984329224,7,0,511,0,73.0,73.0,73.0,0.0,1195234.4973882039,1520651.691357759,4194622.993469238,0.0,0.9760985557361648,0.0
57621,17,1,1,0,68,0,68.0,68.0,68.0,0.0,0,0,0,0,1000000.0,0.0
443,6,1,0,1,0,40,0,0,0,0,0,0,0,0,0.0,1000000.0
53,17,2137.1841430664062,1,1,115,65,115.0,115.0,115.0,0.0,2137.1841430664062,0.0,2137.1841430664062,2137.1841430664062,467.9053993752789,467.9053993752789
53,17,2170.8011627197266,1,1,149,65,149.0,149.0,149.0,0.0,2170.8011627197266,0.0,2170.8011627197266,2170.8011627197266,460.6594179022515,460.6594179022515
443,17,225488.90113830566,19,19,6663,17238,1278.0,51.0,350.6842105263158,459.20813451345134,6094.294625359612,14816.343250006428,69061.0408782959,0.0,84.26135345945997,84.26135345945997
443,6,1,0,1,0,40,0,0,0,0,0,0,0,0,0.0,1000000.0
443,6,1,0,1,0,40,0,0,0,0,0,0,0,0,0.0,1000000.0
443,6,1,0,1,0,40,0,0,0,0,0,0,0,0,0.0,1000000.0
5355,17,409113.16871643066,2,0,112,0,56.0,56.0,56.0,0.0,409113.16871643066,0.0,409113.16871643066,409113.16871643066,4.888622887097197,0.0
443,6,1,0,1,0,40,0,0,0,0,0,0,0,0,0.0,1000000.0
5355,17,407948.0171203613,4,0,244,0,61.0,61.0,61.0,0.0,135982.67237345377,192308.53951827553,407948.0171203613,0.0,9.805170835822047,0.0
5355,17,407618.9994812012,4,0,244,0,61.0,61.0,61.0,0.0,135872.99982706705,192153.43911575543,407618.9994812012,0.0,9.813085271027644,0.0
5353,17,1,1,0,342,0,342.0,342.0,342.0,0.0,0,0,0,0,1000000.0,0.0
57621,17,1,1,0,72,0,72.0,72.0,72.0,0.0,0,0,0,0,1000000.0,0.0
1900,17,3031562.089920044,4,0,792,0,198.0,198.0,198.0,0.0,1010520.6966400146,3678.192834377976,1015614.0327453613,1007059.0972900391,1.319451781409992,0.0
443,17,288931.13136291504,61,41,68664,7717,1278.0,59.0,1125.639344262295,394.11182705232386,2860.704270919951,9340.5962196504,62873.125076293945,0.0,211.12297491882347,141.90232740445512
5355,17,406852.00691223145,2,0,112,0,56.0,56.0,56.0,0.0,406852.00691223145,0.0,406852.00691223145,406852.00691223145,4.91579239138779,0.0
5355,17,1,2,0,122,0,61.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0
443,6,1,1,0,40,0,40.0,40.0,40.0,0.0,0,0,0,0,1000000.0,0.0
53,17,2177.000045776367,1,1,76,60,76.0,76.0,76.0,0.0,2177.000045776367,0.0,2177.000045776367,2177.000045776367,459.3477165699266,459.3477165699266
53,17,10854.959487915039,1,1,129,60,129.0,129.0,129.0,0.0,10854.959487915039,0.0,10854.959487915039,10854.959487915039,92.12378923323595,92.12378923323595
443,17,170325.04081726074,8,8,4267,4756,1278.0,61.0,533.375,577.3190057282022,11355.002721150717,16732.815864560274,45058.01200866699,70.09506225585938,46.969018540163354,46.969018540163354
0,2,510590.0764465332,5,0,200,0,40.0,40.0,40.0,0.0,127647.5191116333,164857.7005062926,404726.9821166992,0.0,9.792591416577558,0.0
5353,17,1,4,0,260,0,70.0,60.0,65.0,5.0,0.0,0.0,0.0,0.0,4000000.0,0.0
5355,17,1,1,0,54,0,54.0,54.0,54.0,0.0,0,0,0,0,1000000.0,0.0
138,17,1,1,0,204,0,204.0,204.0,204.0,0.0,0,0,0,0,1000000.0,0.0
57621,17,1,1,0,68,0,68.0,68.0,68.0,0.0,0,0,0,0,1000000.0,0.0
10925,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
138,17,37996829.986572266,11,0,2459,0,229.0,205.0,223.54545454545453,7.21568539381252,3799682.9986572266,5586648.4826192,19974148.988723755,919399.0230560303,0.28949783452691447,0.0
5353,17,36563539.028167725,8,0,2433,0,456.0,108.0,304.125,146.60357899792214,5223362.718309674,6458773.6779490085,19558531.045913696,402275.08544921875,0.21879720105422457,0.0
1900,17,3076753.854751587,4,0,792,0,198.0,198.0,198.0,0.0,1025584.618250529,1711.8188809637727,1027996.0632324219,1024194.0021514893,1.3000715002997711,0.0
5355,17,408699.03564453125,2,0,110,0,55.0,55.0,55.0,0.0,408699.03564453125,0.0,408699.03564453125,408699.03564453125,4.893576508801733,0.0
57621,17,1,1,0,72,0,72.0,72.0,72.0,0.0,0,0,0,0,1000000.0,0.0
0,2,201793.90907287598,5,0,200,0,40.0,40.0,40.0,0.0,50448.477268218994,49408.304849670065,100224.01809692383,0.0,24.777754804255746,0.0
5355,17,409514.1887664795,2,0,112,0,56.0,56.0,56.0,0.0,409514.1887664795,0.0,409514.1887664795,409514.1887664795,4.883835663971281,0.0
1900,17,2972720.146179199,4,0,792,0,198.0,198.0,198.0,0.0,990906.7153930664,45717.02427687609,1023241.9967651367,926253.080368042,1.3455689749810964,0.0
5353,17,723535.0608825684,6,0,1359,0,417.0,79.0,226.5,149.05899279591733,144707.01217651367,124417.10619993138,312340.02113342285,0.0,8.292618180356316,0.0
5353,17,814738.9888763428,6,0,859,0,253.0,71.0,143.16666666666666,74.58421787184977,162947.79777526855,136503.65981187212,302742.95806884766,0.0,7.364321680830536,0.0
5353,17,818041.8014526367,6,0,963,0,285.0,79.0,160.5,84.2886904236466,163608.36029052734,138529.62499752574,313549.9954223633,0.0,7.334588512892015,0.0
5353,17,1,8,0,616,0,96.0,58.0,77.0,19.0,0.0,0.0,0.0,0.0,8000000.0,0.0
5355,17,1,2,0,104,0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0
5355,17,1,2,0,104,0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0
5355,17,414622.7836608887,2,0,112,0,56.0,56.0,56.0,0.0,414622.7836608887,0.0,414622.7836608887,414622.7836608887,4.823661599927317,0.0
5355,17,410827.1598815918,2,0,118,0,59.0,59.0,59.0,0.0,410827.1598815918,0.0,410827.1598815918,410827.1598815918,4.868227311398881,0.0
1900,17,3072962.999343872,4,0,792,0,198.0,198.0,198.0,0.0,1024320.9997812908,1049.4004043466114,1025719.165802002,1023190.975189209,1.3016752889162888,0.0
5353,17,5015666.0079956055,13,0,5502,0,950.0,150.0,423.2307692307692,297.246893972555,417972.1673329671,358016.9454641712,1023432.0163726807,0.0,2.5918791201958737,0.0
57621,17,1,1,0,68,0,68.0,68.0,68.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,1,1,0,73,0,73.0,73.0,73.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,1,1,0,472,0,472.0,472.0,472.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,818372.0111846924,12,0,1692,0,249.0,70.0,141.0,73.37120234351713,74397.45556224477,123588.58988171657,306257.963180542,0.0,14.663258073340693,0.0
5355,17,1,1,0,61,0,61.0,61.0,61.0,0.0,0,0,0,0,1000000.0,0.0
443,17,152251.9588470459,9,12,4943,6117,1278.0,59.0,549.2222222222222,550.1165084229941,7612.597942352295,13854.78737663868,44360.16082763672,0.0,59.11253995123639,78.81671993498186
5355,17,409744.0242767334,2,0,112,0,56.0,56.0,56.0,0.0,409744.0242767334,0.0,409744.0242767334,409744.0242767334,4.881096200317586,0.0
0,2,203397.03559875488,5,0,200,0,40.0,40.0,40.0,0.0,50849.25889968872,88073.49994148477,203397.03559875488,0.0,24.582462498930383,0.0
5355,17,406252.1457672119,2,0,98,0,49.0,49.0,49.0,0.0,406252.1457672119,0.0,406252.1457672119,406252.1457672119,4.923050920070777,0.0
1900,17,1,1,0,129,0,129.0,129.0,129.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,1,1,0,86,0,86.0,86.0,86.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,45973042.9649353,23,0,1679,0,73.0,73.0,73.0,0.0,2089683.7711334229,483262.02172088827,4197319.984436035,1541887.0449066162,0.500293183062575,0.0
